"About the data: Exported on Oct 26, 2022. Criteria: 'plant pollinator agriculture' in full data; Repository is Frontiers or DRYAD or Public Library of Science or The Royal Society or UC Santa Barbara or NERC Environmental Data Service or Iowa State University or Taylor & Francis Group. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,
Rank,Data ID,DOI,Title,Description,Repository,Publication Date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),Sustainable Development Goals
205,dataset.58254546,10.1371/journal.pone.0267984.t002,"ANOVA results for the effect of thiamethoxam application method, plant variety, and their interactions on percentage defoliation, number of dead plants with bacterial wilt symptoms, fruit number, fruit weight, bee visits per plot, and bee visits per flower in squash plants.","ANOVA results for the effect of thiamethoxam application method, plant variety, and their interactions on percentage defoliation, number of dead plants with bacterial wilt symptoms, fruit number, fruit weight, bee visits per plot, and bee visits per flower in squash plants.",Public Library of Science,2022-05-20,2022,Diana Obregon; Grace Pederson; Alan Taylor; Katja Poveda,pub.1148033716,https://app.dimensions.ai/details/data_set/dataset.58254546,https://plos.figshare.com/articles/dataset/ANOVA_results_for_the_effect_of_thiamethoxam_application_method_plant_variety_and_their_interactions_on_percentage_defoliation_number_of_dead_plants_with_bacterial_wilt_symptoms_fruit_number_fruit_weight_bee_visits_per_plot_and_bee_visits_p/19805987,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences",
205,dataset.58254687,10.1371/journal.pone.0267984.s004,Supporting data for all the analysis.,(XLS),Public Library of Science,2022-05-20,2022,Diana Obregon; Grace Pederson; Alan Taylor; Katja Poveda,pub.1148033716,https://app.dimensions.ai/details/data_set/dataset.58254687,https://plos.figshare.com/articles/dataset/Supporting_data_for_all_the_analysis_/19805135,,
197,dataset.58254544,10.1371/journal.pone.0267984.t003,Thiamethoxam and clothianidin residues found in nectar and pollen from early flowering (July) and late flowering (August) in squash plants treated with different thiamethoxam application methods.,Thiamethoxam and clothianidin residues found in nectar and pollen from early flowering (July) and late flowering (August) in squash plants treated with different thiamethoxam application methods.,Public Library of Science,2022-05-20,2022,Diana Obregon; Grace Pederson; Alan Taylor; Katja Poveda,pub.1148033716,https://app.dimensions.ai/details/data_set/dataset.58254544,https://plos.figshare.com/articles/dataset/Thiamethoxam_and_clothianidin_residues_found_in_nectar_and_pollen_from_early_flowering_July_and_late_flowering_August_in_squash_plants_treated_with_different_thiamethoxam_application_methods_/19805990,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production",
190,dataset.24538837,10.5061/dryad.ncjsxkst4,Human mediated land use change drives intraspecific plant trait variation,"In the Anthropocene, more than three quarters of ice-free land has experienced some form of human driven habitat modification, with agriculture dominating 40% of the Earth’s surface. This land use change alters the quality, availability, and configuration of habitat resources, affecting the community composition of plants and insects, as well as their interactions with each other. Landscapes dominated by agriculture are known to support a lower abundance and diversity of pollinators and frequently larger populations of key herbivore pests. In turn, insect communities subsidized by agriculture may spill into remaining natural habitats with consequences for wild plants persisting in (semi) natural habitats. Adaptive responses by wild plants may allow them to persist in highly modified landscapes; yet how landscape-mediated variation in insect communities affects wild plant traits related to reproduction and defense remains largely unknown. We synthesize the evidence for plant trait changes across land use gradients and propose potential mechanisms by which landscape-mediated changes in insect communities may be driving these trait changes. Further, we present results from a common garden experiment on three wild Brassica species demonstrating variation in both defensive and reproductive traits along an agricultural land use gradient. Our framework illustrates the potential for plant adaptation under land use change and predicts how defense and reproduction trait expression may shift in low diversity landscapes. We highlight areas of future research into plant population and community effects of land use change.",DRYAD,2020-01-01,2020,"Schroeder, Hayley; Grab, Heather; Kessler, Andre; Poveda, Katja",,https://app.dimensions.ai/details/data_set/dataset.24538837,http://datadryad.org/stash/dataset/doi:10.5061/dryad.ncjsxkst4,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4101 Climate Change Impacts and Adaptation; 4102 Ecological Applications",2 Zero Hunger
184,dataset.58254547,10.1371/journal.pone.0267984.t001,"Commercial products, product rates, and active ingredient rates used in the different thiamethoxam application methods tested.","Commercial products, product rates, and active ingredient rates used in the different thiamethoxam application methods tested.",Public Library of Science,2022-05-20,2022,Diana Obregon; Grace Pederson; Alan Taylor; Katja Poveda,pub.1148033716,https://app.dimensions.ai/details/data_set/dataset.58254547,https://plos.figshare.com/articles/dataset/Commercial_products_product_rates_and_active_ingredient_rates_used_in_the_different_thiamethoxam_application_methods_tested_/19805984,40 Engineering; 4010 Engineering Practice and Education; 48 Law and Legal Studies,
183,dataset.8713661,10.1371/journal.pone.0101297,Railway Embankments as New Habitat for Pollinators in an Agricultural Landscape,"Pollinating insect populations, essential for maintaining wild plant diversity and agricultural productivity, rely on (semi)natural habitats. An increasing human population is encroaching upon and deteriorating pollinator habitats. Thus the population persistence of pollinating insects and their associated ecosystem services may depend upon on man-made novel habitats; however, their importance for ecosystem services is barely understood. We tested if man-made infrastructure (railway embankments) in an agricultural landscape establishes novel habitats that support large populations of pollinators (bees, butterflies, hoverflies) when compared to typical habitats for these insects, i.e., semi-natural grasslands. We also identified key environmental factors affecting the species richness and abundance of pollinators on embankments. Species richness and abundance of bees and butterflies were higher for railway embankments than for grasslands. The occurrence of bare (non-vegetated) ground on embankments positively affected bee species richness and abundance, but negatively affected butterfly populations. Species richness and abundance of butterflies positively depended on species richness of native plants on embankments, whereas bee species richness was positively affected by species richness of non-native flowering plants. The density of shrubs on embankments negatively affected the number of bee species and their abundance. Bee and hoverfly species richness were positively related to wood cover in a landscape surrounding embankments. This is the first study showing that railway embankments constitute valuable habitat for the conservation of pollinators in farmland. Specific conservation strategies involving embankments should focus on preventing habitat deterioration due to encroachment of dense shrubs and maintaining grassland vegetation with patches of bare ground.",Public Library of Science,2014-07-23,2014,Dawid Moroń; Piotr Skórka; Magdalena Lenda; Elżbieta Rożej-Pabijan; Marta Wantuch; Joanna Kajzer-Bonk; Waldemar Celary; Łukasz Emil Mielczarek; Piotr Tryjanowski,pub.1029472249,https://app.dimensions.ai/details/data_set/dataset.8713661,https://plos.figshare.com/articles/dataset/_Railway_Embankments_as_New_Habitat_for_Pollinators_in_an_Agricultural_Landscape_/1115353,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4102 Ecological Applications",
182,dataset.58254545,10.1371/journal.pone.0267984.t004,Hazard quotients (HQ) estimated for <i>Eucera (Peponapis) pruinosa</i> with potential exposure to nectar and pollen from flowers produced early (July) and late (August) in the flowering period of squash plants treated with different thiamethoxam application methods.,Hazard quotients (HQ) estimated for Eucera (Peponapis) pruinosa with potential exposure to nectar and pollen from flowers produced early (July) and late (August) in the flowering period of squash plants treated with different thiamethoxam application methods.,Public Library of Science,2022-05-20,2022,Diana Obregon; Grace Pederson; Alan Taylor; Katja Poveda,pub.1148033716,https://app.dimensions.ai/details/data_set/dataset.58254545,https://plos.figshare.com/articles/dataset/Hazard_quotients_HQ_estimated_for_i_Eucera_Peponapis_pruinosa_i_with_potential_exposure_to_nectar_and_pollen_from_flowers_produced_early_July_and_late_August_in_the_flowering_period_of_squash_plants_treated_with_different_thiamethoxam_appli/19805993,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production",
181,dataset.8747306,10.1371/journal.pone.0093153,<i>Cephalaria transsylvanica</i>-Based Flower Strips as Potential Food Source for Bees during Dry Periods in European Mediterranean Basin Countries,"The introduction of sown wildflower strips favours the establishment of pollinator communities, with special reference to social Apoidea. Here, we evaluated the late summer flowering Cephalaria transsylvanica as suitable species for strips providing food for pollinators in paucity periods. C. transsylvanica showed no particular requirements in terms of seed germination and growth during summer. This plant had an excellent potential of self-seeding and competitiveness towards weed competitors. C. transsylvanica prevented from entomophilous pollination showed inbreeding depression, with a decrease in seed-set and accumulation of seed energy reserves. However, C. transsylvanica did not appear to be vulnerable in terms of pollination biology since it had a wide range of pollinators including bees, hoverflies and Lepidoptera. C. transsylvanica was visited mainly by honeybees and bumblebees and these latter pollinators increased their visits on C. transsylvanica flowers during early autumn. This plant may be useful as an abundant source of pollen during food paucity periods, such as autumn. We proposed C. transsylvanica for incorporation into flower strips to be planted in non-cropped farmlands in intensively managed agricultural areas as well as in proximity of beehives. The latter option may facilitate the honeybees collecting pollen and nectar for the colony, thereby ensuring robustness to overcome the winter season.",Public Library of Science,2014-03-27,2014,Giovanni Benelli; Stefano Benvenuti; Nicolas Desneux; Angelo Canale,pub.1001958022,https://app.dimensions.ai/details/data_set/dataset.8747306,https://plos.figshare.com/articles/dataset/_Cephalaria_transsylvanica_Based_Flower_Strips_as_Potential_Food_Source_for_Bees_during_Dry_Periods_in_European_Mediterranean_Basin_Countries/976456,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 3108 Plant Biology",
160,dataset.24971,10.5061/dryad.d0f3b,Data from: Pollinator body size mediates the scale at which land use drives crop pollination services,"1. Ecosystem services to agriculture, such as pollination, rely on natural areas adjacent to farmland to support organisms that provide services. Native insect pollinators depend on natural or semi-natural land surrounding farms for nesting and alternative foraging resources. Despite interest in conserving pollinators through habitat restoration, the scale at which land use affects pollinators and thus crop pollination services is not well understood. 2. We measured abundance of native, wild bee pollinators and the pollination services they provided to highbush blueberry Vaccinium corymbosum L. crops at 16 sites that varied in the proportion of surrounding agricultural land cover at both the field scale (300 m radius) and the landscape scale (1500 m radius). We designed our study such that agricultural land cover at the field scale was uncorrelated with agricultural cover at the landscape scale across sites. We used model selection to determine which spatial scale better predicted aggregate bee abundance, abundance of large versus small bees, and crop pollination services. 3. We found that, overall, bees responded more strongly to farm-scale than to landscape-scale land cover, but the scale at which land cover had the strongest effect varied by bee body size. Large bees showed a negative response to increasing agricultural cover at both scales, but were most strongly affected by the landscape scale. Small bees were negatively affected by agricultural land cover but only at the farm scale, while they had a small positive response to agricultural cover at the landscape scale. 4. Aggregate pollination services from native bees were more strongly influenced by local agricultural cover, due to the combined effects of both large and small bees responding at that scale. 5. Synthesis and applications. Bee abundance and pollination services were strongly determined by farm-scale agricultural cover, suggesting that farm-scale set-asides may provide significant benefits to pollination services. Further, we found that pollinators respond differently to land use depending on body size, but all groups of bees benefit from decreasing agricultural cover at the farm scale. Therefore, small-scale modifications to habitat can have significant impacts on both pollinator abundance and pollination services to crop plants.",DRYAD,2014-01-01,2014,"Benjamin, Faye; Reilly, James; Winfree, Rachael",,https://app.dimensions.ai/details/data_set/dataset.24971,http://datadryad.org/stash/dataset/doi:10.5061/dryad.d0f3b,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 41 Environmental Sciences; 4102 Ecological Applications",
159,dataset.28216551,10.5061/dryad.bg79cnp9g,Proximity to crop relatives determines patterns of natural selection in a wild sunflower,"Abiotic and biotic heterogeneity result in divergent patterns of natural selection in nature, with important consequences for fundamental evolutionary processes including local adaptation, speciation and diversification. However, increasing amounts of the global terrestrial surface are homogenized by agriculture (which covers nearly 50% of terrestrial vegetated land surface) and other anthropogenic activities. Agricultural intensification leads to highly simplified biotic communities for many taxa, which may alter natural selection through biotic selective agents. In particular, the presence of crops may alter selection on traits of closely related wild relatives via shared mutualists and antagonists such as pollinators and herbivores. We asked how the presence of crop sunflowers (Helianthus annuus) alters natural selection on reproductive traits of wild sunflowers (H. a. texanus). Across two years and multiple sites, we planted replicated paired populations of wild H. a. texanus bordering sunflower crop fields vs. approximately 2.5 km away. We measured fitness, floral traits, and interactions of the plants with insect pollinators and seed predators. We found limited evidence that proximity to crop sunflowers altered selection on individual traits, as total or direct selection differed by proximity for only three of eleven traits: ray length (a marginally significant effect), Isophrictis (Gelechiidae, moth) attack, and Neolasioptera (Cecidomyiidae, midge) attack. Direct (but not total) selection was significantly more heterogenous far from crop sunflowers relative to near crop sunflowers. Both mutualist pollinators and antagonist seed predators mediated differences in selection in some population-pairs near versus far from crop sunflowers. Here we demonstrate that agriculture can influence the evolution of wild species via altered selection arising from shared biotic interactions, complementing previously demonstrated evolutionary effects via hybridization.",DRYAD,2021-01-01,2021,"Mitchell, Nora; Chamberlain, Scott; Whitney, Kenneth",,https://app.dimensions.ai/details/data_set/dataset.28216551,http://datadryad.org/stash/dataset/doi:10.5061/dryad.bg79cnp9g,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 31 Biological Sciences; 3104 Evolutionary Biology",2 Zero Hunger
157,dataset.36625,10.5061/dryad.2fqz612m2,Enhancing pollination is more effective than increased conventional agriculture inputs for improving watermelon yields,"Agricultural practices to improve yields in small-scale farms in Africa usually focus on improving growing conditions for the crops by applying fertilizers, irrigation and/or pesticides. This may however, have limited effect on yield if the availability of effective pollinators is too low. In this study, we established an experiment to test whether soil fertility, soil moisture and/or pollination was limiting watermelon (Citrullus lanatus) yields in Northern Tanzania. We subjected the experimental field to common farming practices while we treated selected plants with extra fertilizer applications, increased irrigation and/or extra pollination in a three-way factorial experiment. One week before harvest, we assessed yield from each plant, quantified as the number of mature fruits and their weights. We also assessed fruit shape since this may affect the market price. For the first fruit ripening on each plant, we also assessed sugar content (brix) and flesh colour as measures of fruit quality for human consumption. Extra pollination significantly increased the probability of a plant producing a second fruit of a size the farmer could sell at the market, and also the fruit sugar content, whereas additional fertilizer applications or increased irrigation did not improve yields. In addition, we did not find significant effects of increased fertilizer or watering on fruit sugar, weight or colour. We concluded that, insufficient pollination service is limiting watermelon yields in our experiment and we suggest that this may be a common situation in sub-Saharan Africa. It is therefore critically important that small-scale farmers understand the role of pollinators and understand their importance for agricultural production. Agricultural policies to improve yields in developing countries should therefore also include measures to improve pollination services by giving education and advisory services to farmers on how to develop pollinator friendly habitats in agricultural landscapes.",DRYAD,2020-01-01,2020,"Sawe, Thomas; Eldegard, Katrine; Totland, Ørjan; Macrice, Samora; Nielsen, Anders",,https://app.dimensions.ai/details/data_set/dataset.36625,http://datadryad.org/stash/dataset/doi:10.5061/dryad.2fqz612m2,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3002 Agriculture, Land and Farm Management; 3004 Crop and Pasture Production; 3008 Horticultural Production",
